Time (ms),Name,Value
1,"right climber encoder:","0.0"
2,"Storage: Blue","0.298828125"
2,"Shooter Current","0.0"
2,"Intake Position Average","0.0"
2,"br switch:","false"
2,"Shooter Velocity","-0.0"
2,"Storage: Acceptor Loaded","false"
2,"tr switch:","false"
2,"Left Intake Position","0.0"
2,"left climber encoder:","0.0"
2,"BR: turn pos","-0.0018790813827358477"
2,"BR: turn pow","9.395406913679238E-4"
2,"Right Intake Position","0.0"
2,"Storage: Proximity","2047.0"
2,"Storage: Green","0.466796875"
2,"BL: turn pos","0.012381512564353159"
2,"BL: turn pow","-0.006190756282176579"
6,"Shooter Angle","7.796143493628503"
6,"Storage: Storage Loaded","false"
6,"FR: pow","0.0"
6,"Back Switch Pressed:","true"
7,"FR: vel","0.0"
7,"FL: pow","0.0"
7,"Front Switch Pressed:","false"
7,"bl switch:","false"
7,"FL: vel","0.0"
7,"Shooter Voltage","12.625"
7,"tl switch:","false"
7,"FR: turn pos","-0.014452536640148672"
7,"FR: turn pow","0.007226268320074336"
7,"Storage: Red","0.234619140625"
7,"BR: pow","0.0"
7,"BR: vel","0.0"
7,"BL: pow","0.0"
7,"FL: turn pos","0.007997858285619941"
7,"FL: turn pow","-0.0039989291428099705"
7,"BL: vel","0.0"
7,"Intake Absolute Position Avg","0.0"
7,"Storage: Balls Loaded","0.0"
7,"Shooter Voltage","12.6171875"
7,"Shooter Voltage","12.6171875"
7,"Shooter Voltage","12.6171875"
7,"Shooter Voltage","12.6171875"
103,"Shooter Voltage","12.6171875"
103,"Shooter Voltage","12.6171875"
103,"Shooter Voltage","12.6171875"
103,"Shooter Voltage","12.6171875"
303,"Shooter Voltage","12.625"
303,"Shooter Voltage","12.625"
303,"Shooter Voltage","12.625"
303,"Shooter Voltage","12.625"
404,"Shooter Voltage","12.6171875"
404,"Shooter Voltage","12.6171875"
404,"Shooter Voltage","12.6171875"
404,"Shooter Voltage","12.6171875"
506,"Shooter Voltage","12.6171875"
506,"Shooter Voltage","12.6171875"
506,"Shooter Voltage","12.6171875"
506,"Shooter Voltage","12.6171875"
603,"Shooter Voltage","12.6171875"
603,"Shooter Voltage","12.6171875"
603,"Shooter Voltage","12.6171875"
603,"Shooter Voltage","12.6171875"
704,"Shooter Voltage","12.609375"
704,"Shooter Voltage","12.609375"
704,"Shooter Voltage","12.609375"
704,"Shooter Voltage","12.609375"
804,"Shooter Voltage","12.6640625"
804,"Shooter Voltage","12.6640625"
804,"Shooter Voltage","12.6640625"
804,"Shooter Voltage","12.6640625"
906,"Shooter Voltage","12.671875"
906,"Shooter Voltage","12.671875"
906,"Shooter Voltage","12.671875"
906,"Shooter Voltage","12.671875"
1004,"Shooter Voltage","12.6640625"
1004,"Shooter Voltage","12.6640625"
1004,"Shooter Voltage","12.6640625"
1004,"Shooter Voltage","12.6640625"
1104,"Shooter Voltage","12.6640625"
1104,"Shooter Voltage","12.6640625"
1104,"Shooter Voltage","12.6640625"
1105,"Shooter Voltage","12.6640625"
1204,"Shooter Voltage","12.671875"
1204,"Shooter Voltage","12.671875"
1205,"Shooter Voltage","12.671875"
1205,"Shooter Voltage","12.671875"
1305,"Shooter Voltage","12.6640625"
1305,"Shooter Voltage","12.6640625"
1305,"Shooter Voltage","12.6640625"
1305,"Shooter Voltage","12.6640625"
1405,"Shooter Voltage","12.671875"
1405,"Shooter Voltage","12.671875"
1405,"Shooter Voltage","12.671875"
1405,"Shooter Voltage","12.671875"
1505,"Shooter Voltage","12.671875"
1506,"Shooter Voltage","12.671875"
1506,"Shooter Voltage","12.671875"
1506,"Shooter Voltage","12.671875"
1605,"Shooter Voltage","12.671875"
1605,"Shooter Voltage","12.671875"
1605,"Shooter Voltage","12.671875"
1605,"Shooter Voltage","12.671875"
1707,"Shooter Voltage","12.6796875"
1707,"Shooter Voltage","12.6796875"
1707,"Shooter Voltage","12.6796875"
1707,"Shooter Voltage","12.6796875"
1805,"Shooter Voltage","12.625"
1805,"Shooter Voltage","12.625"
1805,"Shooter Voltage","12.625"
1805,"Shooter Voltage","12.625"
1805,"Storage: Blue","0.299072265625"
1805,"Storage: Blue","0.299072265625"
1805,"Storage: Blue","0.299072265625"
1805,"Storage: Blue","0.299072265625"
1905,"Storage: Blue","0.298828125"
1905,"Storage: Blue","0.298828125"
1905,"Storage: Blue","0.298828125"
1905,"Storage: Blue","0.298828125"
2005,"Shooter Voltage","12.625"
2005,"Shooter Voltage","12.625"
2005,"Shooter Voltage","12.625"
2005,"Shooter Voltage","12.625"
2105,"Shooter Voltage","12.625"
2105,"Shooter Voltage","12.625"
2105,"Shooter Voltage","12.625"
2105,"Shooter Voltage","12.625"
2206,"Shooter Voltage","12.625"
2206,"Shooter Voltage","12.625"
2206,"Shooter Voltage","12.625"
2206,"Shooter Voltage","12.625"
2306,"Shooter Voltage","12.625"
2306,"Shooter Voltage","12.625"
2306,"Shooter Voltage","12.625"
2306,"Shooter Voltage","12.625"
2406,"Shooter Voltage","12.625"
2406,"Shooter Voltage","12.625"
2406,"Shooter Voltage","12.625"
2406,"Shooter Voltage","12.625"
2506,"Shooter Voltage","12.6171875"
2506,"Shooter Voltage","12.6171875"
2507,"Shooter Voltage","12.6171875"
2507,"Shooter Voltage","12.6171875"
2606,"Shooter Voltage","12.6171875"
2606,"Shooter Voltage","12.6171875"
2606,"Shooter Voltage","12.6171875"
2606,"Shooter Voltage","12.6171875"
2708,"Shooter Voltage","12.625"
2708,"Shooter Voltage","12.625"
2708,"Shooter Voltage","12.625"
2708,"Shooter Voltage","12.625"
2792,"Storage: Red","0.234619"
2792,"Storage: Red","0.234619"
2792,"Storage: Red","0.234619"
2792,"Storage: Red","0.234619"
2807,"Shooter Voltage","12.671875"
2807,"Shooter Voltage","12.671875"
2807,"Shooter Voltage","12.671875"
2807,"Shooter Voltage","12.671875"
2911,"Shooter Voltage","12.671875"
2911,"Shooter Voltage","12.671875"
2911,"Shooter Voltage","12.671875"
2911,"Shooter Voltage","12.671875"
2911,"Storage: Red","0.234619140625"
2911,"Storage: Red","0.234619140625"
2911,"Storage: Red","0.234619140625"
2911,"Storage: Red","0.234619140625"
3009,"Shooter Voltage","12.6640625"
3009,"Shooter Voltage","12.6640625"
3009,"Shooter Voltage","12.6640625"
3009,"Shooter Voltage","12.6640625"
3107,"Shooter Voltage","12.6640625"
3107,"Shooter Voltage","12.6640625"
3107,"Shooter Voltage","12.6640625"
3108,"Shooter Voltage","12.6640625"
3207,"Shooter Voltage","12.671875"
3207,"Shooter Voltage","12.671875"
3207,"Shooter Voltage","12.671875"
